r,xc,basis,e
1.50,M06-L,aug-cc-pVTZ,2.243010415891293
1.60,M06-L,aug-cc-pVTZ,1.8715769771965665
1.70,M06-L,aug-cc-pVTZ,1.4747701698076892
1.80,M06-L,aug-cc-pVTZ,1.1030925796881696
1.85,M06-L,aug-cc-pVTZ,0.942163570720286
1.90,M06-L,aug-cc-pVTZ,0.7863606796417102
1.95,M06-L,aug-cc-pVTZ,0.6736774435297086
2.00,M06-L,aug-cc-pVTZ,0.5740097302551277
2.05,M06-L,aug-cc-pVTZ,0.48105821244799785
2.10,M06-L,aug-cc-pVTZ,0.3815816501191662
2.15,M06-L,aug-cc-pVTZ,0.3022546682374738
2.20,M06-L,aug-cc-pVTZ,0.2277090921421987
2.30,M06-L,aug-cc-pVTZ,0.0692533775348565
2.40,M06-L,aug-cc-pVTZ,-0.10134754758949427
2.50,M06-L,aug-cc-pVTZ,-0.3217127069793797
2.60,M06-L,aug-cc-pVTZ,-0.5791314601222766
2.70,M06-L,aug-cc-pVTZ,-0.8722078362672097
2.80,M06-L,aug-cc-pVTZ,-1.2083248420309989
2.90,M06-L,aug-cc-pVTZ,-1.5802041538287313
3.00,M06-L,aug-cc-pVTZ,-1.9980804460762585
3.10,M06-L,aug-cc-pVTZ,-2.4397611295278043
3.20,M06-L,aug-cc-pVTZ,-2.9158797940367
3.30,M06-L,aug-cc-pVTZ,-3.4023877320371785
3.40,M06-L,aug-cc-pVTZ,-3.8926659350942785
3.50,M06-L,aug-cc-pVTZ,-4.360821139317256
3.60,M06-L,aug-cc-pVTZ,-4.801664221827011
3.70,M06-L,aug-cc-pVTZ,-5.244575186655657
3.80,M06-L,aug-cc-pVTZ,-5.638328863672407
3.90,M06-L,aug-cc-pVTZ,-6.027661362921864
4.00,M06-L,aug-cc-pVTZ,-6.404887996965671
4.10,M06-L,aug-cc-pVTZ,-6.753445278112828
4.20,M06-L,aug-cc-pVTZ,-7.09352054010924
4.30,M06-L,aug-cc-pVTZ,-7.425240011162059
4.40,M06-L,aug-cc-pVTZ,-7.747368531341527
4.50,M06-L,aug-cc-pVTZ,-8.058664845113132
4.60,M06-L,aug-cc-pVTZ,-8.348882433490196
4.70,M06-L,aug-cc-pVTZ,-8.642040098086245
4.80,M06-L,aug-cc-pVTZ,-8.923739522791175
4.90,M06-L,aug-cc-pVTZ,-9.19150451757358
5.00,M06-L,aug-cc-pVTZ,-9.446260580861608
5.10,M06-L,aug-cc-pVTZ,-9.702432494868921
5.20,M06-L,aug-cc-pVTZ,-9.945817511916543
5.30,M06-L,aug-cc-pVTZ,-10.17851306100982
5.40,M06-L,aug-cc-pVTZ,-10.404245345139376
5.50,M06-L,aug-cc-pVTZ,-10.629801938309232
5.60,M06-L,aug-cc-pVTZ,-10.844542699344476
5.70,M06-L,aug-cc-pVTZ,-11.051030746116204
5.80,M06-L,aug-cc-pVTZ,-11.250928049810415
1.50,TPSS,aug-cc-pVTZ,1.349244178966743
1.60,TPSS,aug-cc-pVTZ,0.8960285655040128
1.70,TPSS,aug-cc-pVTZ,0.5143702454538612
1.80,TPSS,aug-cc-pVTZ,0.2065330037919253
1.85,TPSS,aug-cc-pVTZ,0.07528603587588023
1.90,TPSS,aug-cc-pVTZ,-0.04658270168591727
1.95,TPSS,aug-cc-pVTZ,-0.16182386900099743
2.00,TPSS,aug-cc-pVTZ,-0.27642208787739264
2.05,TPSS,aug-cc-pVTZ,-0.39297850492683395
2.10,TPSS,aug-cc-pVTZ,-0.5160869961123602
2.15,TPSS,aug-cc-pVTZ,-0.6482744102962315
2.20,TPSS,aug-cc-pVTZ,-0.7927672945065645
2.30,TPSS,aug-cc-pVTZ,-1.1239647046378245
2.40,TPSS,aug-cc-pVTZ,-1.5135222124236236
2.50,TPSS,aug-cc-pVTZ,-1.9591712148315779
2.60,TPSS,aug-cc-pVTZ,-2.4511767652472294
2.70,TPSS,aug-cc-pVTZ,-2.9791782897087167
2.80,TPSS,aug-cc-pVTZ,-3.5313618153372364
2.90,TPSS,aug-cc-pVTZ,-4.095568767584645
3.00,TPSS,aug-cc-pVTZ,-4.663911549388789
3.10,TPSS,aug-cc-pVTZ,-5.226598995673379
3.20,TPSS,aug-cc-pVTZ,-5.777701866208375
3.30,TPSS,aug-cc-pVTZ,-6.313609635595579
3.40,TPSS,aug-cc-pVTZ,-6.830005063459012
3.50,TPSS,aug-cc-pVTZ,-7.326263935544361
3.60,TPSS,aug-cc-pVTZ,-7.8014911562554445
3.70,TPSS,aug-cc-pVTZ,-8.255049610656963
3.80,TPSS,aug-cc-pVTZ,-8.68954449088179
3.90,TPSS,aug-cc-pVTZ,-9.103912264603846
4.00,TPSS,aug-cc-pVTZ,-9.500098003596957
4.10,TPSS,aug-cc-pVTZ,-9.880995072535907
4.20,TPSS,aug-cc-pVTZ,-10.244950404262102
4.30,TPSS,aug-cc-pVTZ,-10.59437546653238
4.40,TPSS,aug-cc-pVTZ,-10.931359459481843
4.50,TPSS,aug-cc-pVTZ,-11.254749996349812
4.60,TPSS,aug-cc-pVTZ,-11.566037814726748
4.70,TPSS,aug-cc-pVTZ,-11.866759708779238
4.80,TPSS,aug-cc-pVTZ,-12.156808911077462
4.90,TPSS,aug-cc-pVTZ,-12.436250325597722
5.00,TPSS,aug-cc-pVTZ,-12.705804849684496
5.10,TPSS,aug-cc-pVTZ,-12.967031440479799
5.20,TPSS,aug-cc-pVTZ,-13.21892574057151
5.30,TPSS,aug-cc-pVTZ,-13.46253257000258
5.40,TPSS,aug-cc-pVTZ,-13.698039091055188
5.50,TPSS,aug-cc-pVTZ,-13.925770457319778
5.60,TPSS,aug-cc-pVTZ,-14.146192151348224
5.70,TPSS,aug-cc-pVTZ,-14.359648302470934
5.80,TPSS,aug-cc-pVTZ,-14.5664839078635
1.50,r2SCAN,aug-cc-pVTZ,-0.33339775787099546
1.60,r2SCAN,aug-cc-pVTZ,-0.32897717215032785
1.70,r2SCAN,aug-cc-pVTZ,-0.3026478974163265
1.80,r2SCAN,aug-cc-pVTZ,-0.26302042479727206
1.85,r2SCAN,aug-cc-pVTZ,-0.24185653964156018
1.90,r2SCAN,aug-cc-pVTZ,-0.22126251059882307
1.95,r2SCAN,aug-cc-pVTZ,-0.2044405724048879
2.00,r2SCAN,aug-cc-pVTZ,-0.19346587273740923
2.05,r2SCAN,aug-cc-pVTZ,-0.18938031092829988
2.10,r2SCAN,aug-cc-pVTZ,-0.19387073168381264
2.15,r2SCAN,aug-cc-pVTZ,-0.20974469015726527
2.20,r2SCAN,aug-cc-pVTZ,-0.23871333350236057
2.30,r2SCAN,aug-cc-pVTZ,-0.3330592642195036
2.40,r2SCAN,aug-cc-pVTZ,-0.48146799610371716
2.50,r2SCAN,aug-cc-pVTZ,-0.6759720654382448
2.60,r2SCAN,aug-cc-pVTZ,-0.9183208924552595
2.70,r2SCAN,aug-cc-pVTZ,-1.2023085229355281
2.80,r2SCAN,aug-cc-pVTZ,-1.518453689366826
2.90,r2SCAN,aug-cc-pVTZ,-1.856612981830688
3.00,r2SCAN,aug-cc-pVTZ,-2.217954487131305
3.10,r2SCAN,aug-cc-pVTZ,-2.585913049445823
3.20,r2SCAN,aug-cc-pVTZ,-2.966534812423566
3.30,r2SCAN,aug-cc-pVTZ,-3.3444840195770293
3.40,r2SCAN,aug-cc-pVTZ,-3.7244551967217543
3.50,r2SCAN,aug-cc-pVTZ,-4.09934141802059
3.60,r2SCAN,aug-cc-pVTZ,-4.468204991838363
3.70,r2SCAN,aug-cc-pVTZ,-4.8299949013679395
3.80,r2SCAN,aug-cc-pVTZ,-5.182455483209297
3.90,r2SCAN,aug-cc-pVTZ,-5.527664400328674
4.00,r2SCAN,aug-cc-pVTZ,-5.860627158736703
4.10,r2SCAN,aug-cc-pVTZ,-6.183977299176917
4.20,r2SCAN,aug-cc-pVTZ,-6.5005779709010385
4.30,r2SCAN,aug-cc-pVTZ,-6.808167081178042
4.40,r2SCAN,aug-cc-pVTZ,-7.105302921711129
4.50,r2SCAN,aug-cc-pVTZ,-7.394152275997521
4.60,r2SCAN,aug-cc-pVTZ,-7.675913319708166
4.70,r2SCAN,aug-cc-pVTZ,-7.945991472188296
4.80,r2SCAN,aug-cc-pVTZ,-8.210106623655516
4.90,r2SCAN,aug-cc-pVTZ,-8.466261710669016
5.00,r2SCAN,aug-cc-pVTZ,-8.71423186630139
5.10,r2SCAN,aug-cc-pVTZ,-8.955978923331227
5.20,r2SCAN,aug-cc-pVTZ,-9.188843435211973
5.30,r2SCAN,aug-cc-pVTZ,-9.413730742108026
5.40,r2SCAN,aug-cc-pVTZ,-9.633309425804708
5.50,r2SCAN,aug-cc-pVTZ,-9.845675083116186
5.60,r2SCAN,aug-cc-pVTZ,-10.050292202911637
5.70,r2SCAN,aug-cc-pVTZ,-10.250546923562766
5.80,r2SCAN,aug-cc-pVTZ,-10.45028715612441
1.50,SCAN,aug-cc-pVTZ,-0.8577960526836863
1.60,SCAN,aug-cc-pVTZ,-0.9635552759739223
1.70,SCAN,aug-cc-pVTZ,-0.9646674181886716
1.80,SCAN,aug-cc-pVTZ,-0.9021369821283756
